Time	CFP	YFP	
Seconds	mV	mV	
			
558	1979,49	3970,38
559	2031,37	3984,62
560	2023,13	4028,57
561	2001,87	4004,15
562	2009,20	3934,16
563	2026,90	3936,60
564	2016,32	3896,11
565	2039,31	3899,16
566	1972,78	3986,45
567	2011,84	3934,36
568	2019,57	4008,63
569	2004,52	3928,26
570	1956,91	3978,51
571	1999,84	3963,86
572	1922,52	3935,58
573	2043,89	3948,30
574	2063,32	3945,35
575	2026,49	3900,99
576	2050,91	3932,33
577	2033,82	3949,42
578	1984,78	3922,16
579	2002,69	3970,27
580	2039,72	3904,25
581	2055,38	3866,81
582	1962,60	3870,68
583	2019,78	3858,88
584	2065,76	3911,98
585	2055,79	3946,37
586	2022,22	3917,48
587	2101,26	3882,07
588	2045,01	3915,64
589	2036,05	3932,94
590	2091,80	3833,85
591	2082,65	3843,41
592	2113,98	3864,98
593	2036,26	3856,44
594	2076,14	3890,41
595	2070,44	3871,09
596	2087,33	3857,66
597	2005,13	3901,40
598	2110,11	3914,83
599	2026,08	3906,69
600	2044,80	3879,63
601	1990,07	3907,71
602	2032,80	3899,77
603	2027,10	3847,48
604	2080,21	3894,69
605	2068,81	3951,05
606	2071,05	3901,40
607	2101,57	3897,33
608	2053,55	3899,98
609	2100,75	3879,43
610	2121,10	3902,62
611	2069,01	3905,06
612	2066,57	3862,34
613	2067,39	3898,35
614	2066,78	3893,67
615	2066,98	3861,52
616	2154,27	3841,99
617	2080,82	3889,60
618	1995,97	3897,94
619	2102,79	3869,46
620	2089,56	3894,89
621	2073,49	3807,00
622	2044,60	3868,85
623	2069,63	3861,93
624	2132,90	3869,66
625	2118,86	3835,48
626	2087,12	3875,77
627	2114,69	3915,03
628	2141,24	3926,43
629	2108,28	3913,41
630	2034,83	3910,15
631	2093,63	3881,26
632	2081,43	3847,28
633	2097,70	3845,04
634	2118,66	3840,87
635	2122,53	3842,40
636	2149,18	3828,77
637	2099,13	3867,22
638	2104,62	3827,34
639	2119,88	3830,39
640	2161,18	3850,54
641	2152,23	3875,36
642	2124,97	3839,55
